City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Buriti Dos Lopes,BR,-3.175,-41.8669,73.38,97,81,4.05,broken clouds
Dalby,AU,-27.1833,151.2667,78.01,25,6,3.0,clear sky
Dezhou,CN,37.4486,116.2925,67.44,39,100,9.4,light rain
Ugoofaaru,MV,5.6667,73.0,83.19,68,4,0.94,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.8,56,15,11.18,few clouds
Omsukchan,RU,62.5333,155.8,-2.13,79,100,5.66,overcast clouds
George Town,MY,5.4112,100.3354,89.6,66,20,6.91,few clouds
Vrangel,RU,42.7297,133.0839,45.59,80,78,5.57,broken clouds
Ranau,MY,5.9538,116.6641,87.8,79,20,3.44,few clouds
Ryotsu,JP,38.0833,138.4333,53.6,50,20,11.5,few clouds
Fukue,JP,32.6881,128.8419,66.2,48,20,9.22,few clouds
Deputatskiy,RU,69.3,139.9,-3.12,83,7,3.83,clear sky
Daru,PG,-9.0763,143.2092,82.89,73,74,2.55,broken clouds
Tilichiki,RU,60.4667,166.1,12.97,74,100,20.74,overcast clouds
Suamico,US,44.6319,-88.0393,51.8,87,90,24.16,moderate rain
Tsukumi,JP,33.0706,131.8572,66.99,58,20,9.22,few clouds
Yerbogachen,RU,61.2767,108.0108,22.98,58,3,6.31,clear sky
Mumford,GH,5.2618,-0.759,79.63,88,25,11.01,scattered clouds
Quincy,US,42.2529,-71.0023,59.0,87,82,14.97,broken clouds
Krasnoselkup,RU,65.7,82.4667,32.52,100,21,9.64,few clouds
Port Hedland,AU,-20.3167,118.5667,95.0,49,66,9.22,broken clouds
Phulabani,IN,20.4667,84.2333,99.57,19,0,4.76,clear sky
Leningradskiy,RU,69.3833,178.4167,-9.35,98,96,3.22,overcast clouds
Nueva Loja,EC,0.0847,-76.8828,69.85,99,100,1.99,overcast clouds
Ewa Beach,US,21.3156,-158.0072,73.4,53,40,8.05,scattered clouds
Mbini,GQ,1.574,9.6134,77.0,100,40,4.47,light rain
Bukama,CD,-9.2,25.85,70.03,92,100,2.28,overcast clouds
Karratha,AU,-20.7377,116.8463,87.87,62,62,14.94,broken clouds
Shingu,JP,33.7333,135.9833,62.6,59,20,8.05,few clouds
Timbiqui,CO,2.7717,-77.6654,75.99,91,100,2.04,light rain
Ancud,CL,-41.8697,-73.8203,53.01,100,90,13.8,light rain
Kloulklubed,PW,7.0419,134.2556,80.6,89,75,3.44,broken clouds
Imatra,FI,61.1719,28.7524,36.0,87,40,10.36,scattered clouds
Alyangula,AU,-13.8483,136.4192,87.8,70,40,5.75,light rain
Saint Andrews,US,34.0454,-81.1293,62.6,94,20,4.61,few clouds
San Javier,ES,37.8063,-0.8374,59.0,100,90,2.3,overcast clouds
Mwingi,KE,-0.9344,38.0601,72.23,73,81,5.97,broken clouds
Tanete,ID,-3.9443,119.7848,93.24,48,68,5.32,broken clouds
Suba,PH,10.8438,121.0102,83.05,72,76,19.84,broken clouds
Sistranda,NO,63.7256,8.834,35.6,93,75,11.5,broken clouds
Brae,GB,60.3964,-1.353,32.0,86,75,11.5,broken clouds
Caconda,AO,-13.7333,15.0667,58.39,80,68,3.85,broken clouds
Hangu,CN,39.2489,117.7892,66.2,45,0,8.95,clear sky
Cerkezkoy,TR,41.285,28.0003,42.8,81,0,3.44,clear sky
Scarborough,GB,54.2797,-0.4044,36.0,90,33,16.64,scattered clouds
Saint-Joseph,RE,-21.3667,55.6167,84.2,65,0,2.3,clear sky
Jalu,LY,29.0331,21.5482,55.83,37,27,14.67,scattered clouds
Alta Floresta,BR,-9.8756,-56.0861,69.19,97,43,2.64,scattered clouds
Bull Savanna,JM,17.8868,-77.5902,73.92,88,90,8.25,overcast clouds
Derbent,RU,42.0678,48.2899,54.3,66,18,3.71,few clouds
Kyshtovka,RU,56.555,76.6271,36.88,86,100,6.38,overcast clouds
Hellvik,NO,59.9156,5.781,32.0,83,12,1.01,few clouds
Geraldton,AU,-28.7667,114.6,95.0,34,40,24.16,scattered clouds
Vao,NC,-22.6667,167.4833,77.22,83,100,16.31,overcast clouds
Venezuela,VE,8.0,-66.0,78.78,75,99,5.44,overcast clouds
Isangel,VU,-19.55,169.2667,81.14,83,88,11.03,overcast clouds
Bilaspur,IN,22.0833,82.15,100.87,16,67,6.96,broken clouds
Nouadhibou,MR,20.931,-17.0347,64.4,77,94,18.41,overcast clouds
Nangal,IN,31.3667,76.3833,95.95,6,3,6.4,clear sky
Avila,ES,40.5833,-5.0,45.0,92,100,1.01,overcast clouds
Tual,ID,-5.6667,132.75,82.92,73,51,9.84,broken clouds
Sao Joao Da Ponte,BR,-15.9292,-44.0078,60.94,83,33,4.18,scattered clouds
Umea,SE,63.8284,20.2597,30.2,80,0,4.61,clear sky
Seoul,KR,37.5683,126.9778,71.6,21,0,3.44,clear sky
Doha,QA,25.2867,51.5333,82.4,57,0,12.66,clear sky
Clyde River,CA,70.4692,-68.5914,24.8,86,90,11.5,light snow
Valparaiso,CL,-33.0393,-71.6273,59.0,59,0,13.85,clear sky
Andenes,NO,69.3143,16.1194,35.6,80,75,19.57,broken clouds
Tongliao,CN,43.6125,122.2653,63.55,41,100,18.14,light rain
Ndjole,GA,-0.1783,10.7649,72.0,98,100,2.62,heavy intensity rain
Paraiso,CR,9.8383,-83.8656,68.0,100,40,1.14,scattered clouds
Balkhash,KZ,46.844,74.9804,60.8,16,0,24.61,clear sky
Komsomolets,KZ,53.7453,62.0708,40.6,81,75,7.9,broken clouds
Nizwa,OM,22.9333,57.5333,85.08,28,0,5.59,clear sky
Mehamn,NO,71.0357,27.8492,33.98,97,99,11.95,light snow
Atambua,ID,-9.1061,124.8925,80.85,68,62,3.2,broken clouds
Necochea,AR,-38.5473,-58.7368,57.0,95,100,5.99,light rain
Dalbandin,PK,28.8947,64.4101,87.78,7,0,4.94,clear sky
Terrace,CA,54.5163,-128.6035,33.8,86,90,5.75,overcast clouds
San Jose,US,37.3394,-121.895,53.6,54,20,9.22,few clouds
Thomaston,US,32.8882,-84.3266,59.0,100,1,5.75,clear sky
Sanford,US,28.8006,-81.2731,66.99,82,1,5.75,clear sky
Lacdayan,PH,13.6,122.5333,89.74,45,50,7.78,scattered clouds
Muddebihal,IN,16.3333,76.1333,90.59,23,37,6.62,scattered clouds
Sonkovo,RU,57.7782,37.1571,39.94,84,66,4.05,broken clouds
Princeton,US,25.5384,-80.4089,75.2,83,90,11.43,overcast clouds
Vanavara,RU,60.34,102.2797,32.67,63,41,8.66,scattered clouds
Bonavista,CA,48.6499,-53.1147,36.0,100,100,3.44,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,68.65,80,0,5.32,clear sky
Polyarnyy,RU,69.1989,33.4478,32.0,59,0,8.95,clear sky
Chalchihuites,MX,23.4833,-103.8833,53.33,37,47,6.76,scattered clouds
Verkhoyansk,RU,67.5447,133.385,7.25,74,63,5.37,broken clouds
San Vicente,AR,-26.6167,-54.1333,64.08,71,6,2.68,clear sky
Tijara,IN,27.9333,76.85,97.59,5,0,4.9,clear sky
Shakawe,BW,-18.3667,21.85,63.45,49,0,5.17,clear sky
Penzance,GB,50.1186,-5.5371,37.4,87,40,12.66,scattered clouds
Moa,CU,20.6569,-74.9403,73.04,82,63,9.48,broken clouds
Montepuez,MZ,-13.1256,38.9997,72.48,84,99,8.81,overcast clouds
Uglegorsk,RU,49.0833,142.0333,43.77,63,52,18.45,broken clouds
Ust-Nera,RU,64.5667,143.2,9.37,71,99,9.01,overcast clouds
Puerto Escondido,MX,15.85,-97.0667,78.39,71,65,7.29,broken clouds
Zalantun,CN,48.0,122.7167,57.36,15,100,4.74,overcast clouds
Liverpool,GB,53.4106,-2.9779,32.0,69,94,0.98,overcast clouds
Kamaishi,JP,39.2667,141.8833,57.2,24,20,3.44,few clouds
Tunceli,TR,39.1083,39.5471,53.6,53,40,1.14,scattered clouds
Lorengau,PG,-2.0226,147.2712,83.66,77,100,16.06,overcast clouds
Belmopan,BZ,17.25,-88.7667,84.2,74,0,4.59,clear sky
Batticaloa,LK,7.7102,81.6924,85.42,64,55,7.54,broken clouds
Gamba,GA,-2.65,10.0,76.75,89,100,4.97,overcast clouds
Middle Island,US,40.8843,-72.9373,55.99,94,90,3.44,mist
Poum,NC,-20.2333,164.0167,79.18,79,37,13.85,scattered clouds
Rawson,AR,-43.3002,-65.1023,59.9,51,46,14.94,scattered clouds
Grand Forks,US,47.9417,-97.4337,35.6,100,1,4.61,clear sky
Ronde,DK,56.3014,10.4751,39.2,81,90,9.22,moderate rain
Diu,IN,20.7141,70.9822,92.73,28,1,7.38,clear sky
Viedma,AR,-40.8135,-62.9967,56.32,60,37,8.39,scattered clouds
Olavarria,AR,-36.8927,-60.3225,55.0,95,100,8.99,overcast clouds
Hovd,MN,48.0056,91.6419,35.26,36,89,2.1,overcast clouds
Olafsvik,IS,64.8945,-23.7142,38.48,97,100,8.84,light rain
Sarkand,KZ,45.41,79.9186,60.19,32,3,8.01,clear sky
Tigil,RU,57.8,158.6667,21.07,79,100,10.18,overcast clouds
Namie,JP,37.4833,141.0,55.99,52,18,1.01,few clouds
Kholtoson,RU,50.2981,103.3097,29.97,34,100,11.88,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,57.99,80,87,7.0,overcast clouds
Saint-Francois,FR,46.4154,3.9054,48.2,87,0,4.61,clear sky
Fez,MA,34.0372,-4.9998,53.6,94,40,3.44,scattered clouds
Khash,IR,28.2211,61.2158,77.77,7,0,4.76,clear sky
Paita,PE,-5.0892,-81.1144,70.32,81,64,12.64,broken clouds
Hammerfest,NO,70.6634,23.6821,33.8,100,90,18.41,snow
Gadarwara,IN,22.9167,78.7833,99.39,17,31,1.68,scattered clouds
Bethanien,NA,-26.502,17.1583,73.33,32,0,2.37,clear sky
Khromtau,KZ,50.2503,58.4347,36.7,99,98,10.74,overcast clouds
Astoria,US,46.1879,-123.8313,41.0,65,1,3.44,clear sky
Nemuro,JP,43.3236,145.575,57.2,26,0,11.5,clear sky
Arlit,NE,18.7369,7.3853,81.0,7,0,6.62,clear sky
Adrar,MR,20.5022,-10.0711,70.39,26,0,11.45,clear sky
Sao Filipe,CV,14.8961,-24.4956,74.03,66,3,8.66,clear sky
Upington,ZA,-28.4478,21.2561,71.6,40,1,6.91,clear sky
Yanam,IN,16.7333,82.2167,91.4,58,28,9.22,scattered clouds
Biak,ID,-0.9131,122.8766,83.7,69,83,1.48,broken clouds
Ca Mau,VN,9.1769,105.15,94.77,41,78,15.57,broken clouds
Loandjili,CG,-4.7561,11.8578,75.2,94,40,6.93,scattered clouds
Wad Madani,SD,14.4012,33.5199,85.71,14,8,22.86,clear sky
Pangkalanbuun,ID,-2.6833,111.6167,91.99,49,52,4.88,broken clouds
Qostanay,KZ,53.1667,63.5833,39.2,100,20,6.71,few clouds
Batagay,RU,67.6333,134.6333,4.66,78,85,3.76,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,50.0,81,1,9.22,haze
Praia,CV,14.9215,-23.5087,71.6,56,0,14.97,clear sky
Slave Lake,CA,55.2834,-114.769,23.0,86,90,14.97,light snow
Cairns,AU,-16.9167,145.7667,87.01,70,75,6.91,broken clouds
Soderhamn,SE,61.3037,17.0592,39.0,55,0,2.46,clear sky
Carutapera,BR,-1.195,-46.02,75.4,93,100,4.18,overcast clouds
Korla,CN,41.7597,86.1469,64.24,28,1,3.02,clear sky
Kodinsk,RU,58.6881,99.1844,36.72,55,36,9.13,scattered clouds
Dingle,PH,10.9995,122.6711,88.05,57,81,11.05,broken clouds
Houma,US,29.5958,-90.7195,71.01,94,90,8.12,overcast clouds
Vulcan,RO,45.3833,23.2667,43.77,62,9,3.49,clear sky
Pangnirtung,CA,66.1451,-65.7125,25.48,71,100,4.65,overcast clouds
Yuci,CN,37.6803,112.7319,60.8,31,100,4.47,overcast clouds
Koutsouras,GR,35.0339,25.9469,55.26,52,2,13.4,clear sky
Abha,SA,18.2164,42.5053,69.8,21,0,5.75,clear sky
Giresun,TR,40.5,38.5,46.4,100,75,1.14,broken clouds
Sumbe,AO,-11.2061,13.8437,78.71,80,76,5.55,broken clouds
San Quintin,MX,30.4833,-115.95,58.51,84,96,12.12,overcast clouds
Mandera,KE,3.9366,41.867,84.09,60,91,10.87,overcast clouds
Kabalo,CD,-6.05,26.9167,69.24,94,100,4.65,overcast clouds
Skibbereen,IE,51.55,-9.2667,32.0,93,75,11.5,broken clouds
Caraballeda,VE,10.6112,-66.8522,70.0,83,100,1.01,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,60.66,54,85,12.35,overcast clouds
Moanda,GA,-1.5575,13.2178,71.6,100,20,2.3,few clouds
Marystown,CA,47.1666,-55.1483,34.25,97,100,10.96,overcast clouds
Rapla,EE,59.0072,24.7928,33.01,97,22,3.0,few clouds
Bud,US,39.447,-86.1758,50.0,79,40,14.65,scattered clouds
Marzuq,YE,14.4,46.4667,81.91,11,2,6.67,clear sky
Aksu,CN,41.1231,80.2644,65.07,18,0,2.55,clear sky
Urengoy,RU,65.9667,78.3667,33.78,89,100,14.07,overcast clouds
Tibati,CM,6.4667,12.6333,72.12,75,93,1.81,overcast clouds
Rio De Janeiro,BR,-22.9028,-43.2075,69.8,88,0,5.75,clear sky
Ballina,AU,-28.8667,153.5667,82.4,36,5,11.5,clear sky
Mbarara,UG,-0.608,30.65,63.03,91,100,3.24,overcast clouds
Marawi,PH,7.9986,124.2928,82.99,79,97,7.0,light rain
Barcelos,PT,41.5388,-8.6151,53.01,100,20,4.61,few clouds
Amapa,BR,1.0,-52.0,71.19,99,100,1.41,overcast clouds
Tapes,BR,-30.6733,-51.3958,71.51,85,90,5.59,overcast clouds
Zhiryatino,RU,53.2228,33.7306,41.0,60,0,4.47,clear sky
Palmer,US,42.1584,-72.3287,55.99,94,1,3.44,clear sky
Richards Bay,ZA,-28.783,32.0377,73.35,70,12,9.13,few clouds
Noumea,NC,-22.2763,166.4572,81.0,89,90,8.05,overcast clouds
Kattivakkam,IN,13.2167,80.3167,91.4,52,40,9.22,scattered clouds
Novodugino,RU,55.6305,34.2842,44.47,64,29,7.7,scattered clouds
Cotonou,BJ,6.3654,2.4183,81.61,82,61,10.51,broken clouds
Itupiranga,BR,-5.1347,-49.3267,75.2,100,0,1.88,clear sky
Letterkenny,IE,54.95,-7.7333,31.78,76,45,3.0,scattered clouds
Bukachacha,RU,52.9833,116.9167,30.76,25,24,7.0,few clouds
Jinka,ET,5.65,36.65,72.77,58,93,4.0,overcast clouds
Arkhangelsk,RU,64.5401,40.5433,37.4,70,90,8.95,overcast clouds
Najran,SA,17.4924,44.1277,77.0,15,0,2.3,clear sky
Huarmey,PE,-10.0681,-78.1522,69.51,87,98,5.64,overcast clouds
Bourg-En-Bresse,FR,46.1667,5.1667,51.01,77,89,5.99,overcast clouds
Sasebo,JP,33.1592,129.7228,69.8,30,0,8.05,clear sky
Belz,FR,47.6751,-3.168,37.99,98,21,1.01,few clouds
Eenhana,NA,-17.4667,16.3333,60.8,67,3,4.61,clear sky
Galapa,CO,10.8969,-74.886,77.0,94,20,3.44,fog
Lavrentiya,RU,65.5833,-171.0,1.89,78,100,24.96,overcast clouds
Ahuimanu,US,21.4447,-157.8378,73.4,60,75,8.05,broken clouds
Pacific Grove,US,36.6177,-121.9166,51.8,76,90,5.75,overcast clouds
Tagusao,PH,9.1924,117.8141,83.8,73,53,6.85,heavy intensity rain
Virginia Beach,US,36.8529,-75.978,66.99,82,90,4.61,overcast clouds
Brazzaville,CG,-4.2658,15.2832,71.6,94,20,2.3,few clouds
Beloha,MG,-25.1667,45.05,79.23,66,12,11.03,few clouds
Salalah,OM,17.0151,54.0924,84.2,65,40,2.3,scattered clouds
Nevelsk,RU,46.6733,141.8633,51.8,50,11,15.66,few clouds
Charlestown,AU,-32.95,151.6667,69.01,33,17,3.0,few clouds
Taltal,CL,-25.4,-70.4833,62.92,83,6,1.16,clear sky
Laguna,US,38.421,-121.4238,57.99,47,1,4.61,clear sky
Seymchan,RU,62.8833,152.4333,5.5,66,98,11.83,overcast clouds
Jadu,LY,31.953,12.0261,55.18,44,68,19.82,broken clouds
Jalingo,NG,8.8833,11.3667,83.64,54,83,5.53,broken clouds
Diffa,NE,13.3154,12.6113,82.45,16,96,10.02,overcast clouds
Ribeira Brava,PT,32.65,-17.0667,60.01,84,98,4.0,overcast clouds
Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.39,97,100,9.46,light rain
Umm Lajj,SA,25.0213,37.2685,72.9,36,0,16.26,clear sky
Trincomalee,LK,8.5711,81.2335,83.73,71,11,10.96,few clouds
San Policarpo,PH,12.1791,125.5072,83.37,69,100,10.4,overcast clouds
Merauke,ID,-8.4667,140.3333,84.13,66,23,6.78,moderate rain
Yaan,NG,7.3833,8.5667,78.53,70,99,8.72,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,81.66,28,0,14.41,clear sky
Katangli,RU,51.7102,143.2326,44.22,68,69,11.7,broken clouds
Telixtac,MX,18.5667,-98.7667,79.0,46,23,1.01,few clouds
Bonthe,SL,7.5264,-12.505,78.69,91,100,4.9,overcast clouds
Verkhoturye,RU,58.8627,60.8054,48.18,84,100,9.95,overcast clouds
Svetlogorsk,BY,52.6333,29.7333,47.12,56,15,8.46,few clouds
Victoria Point,AU,-27.5833,153.3,84.99,60,51,1.99,broken clouds
Teguldet,RU,57.3064,88.1667,40.21,71,100,5.46,overcast clouds
Abensberg,DE,48.8167,11.85,44.01,81,100,1.14,overcast clouds
Yenagoa,NG,4.9247,6.2642,76.55,89,100,5.08,overcast clouds
Belmonte,BR,-15.8631,-38.8828,71.6,88,20,5.75,few clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,54,0,20.71,clear sky
Elko,US,41.0002,-115.5012,48.0,26,0,18.01,clear sky
Dillon,US,34.4166,-79.3712,66.0,100,40,6.91,scattered clouds
Mogadishu,SO,2.0371,45.3438,84.2,70,75,10.36,broken clouds
Nabire,ID,-3.3667,135.4833,84.42,69,61,5.01,broken clouds
Abalak,RU,58.1286,68.5944,46.54,65,100,12.62,overcast clouds
Alofi,NU,-19.0595,-169.9187,78.8,83,9,3.44,clear sky
Sharlyk,RU,52.9167,54.75,46.76,65,35,18.75,scattered clouds
Jieshi,CN,22.8134,115.8257,80.01,60,15,4.0,few clouds
Huambo,AO,-12.7761,15.7392,57.81,81,62,2.08,broken clouds
Verkhniye Sergi,RU,56.6469,59.5556,52.41,72,100,7.76,overcast clouds
Pout,SN,14.7739,-17.0603,66.2,88,0,17.27,clear sky
Nalut,LY,30.3333,10.85,63.28,35,58,21.85,broken clouds
Palauig,PH,15.435,119.9045,85.39,64,57,10.74,broken clouds
Kaniama,CD,-7.5667,24.1833,66.29,93,100,4.52,overcast clouds
Conroe,US,30.3119,-95.456,62.01,58,1,4.61,clear sky
Oistins,BB,13.0667,-59.5333,78.8,65,100,13.8,volcanic ash
Bongor,TD,10.2806,15.3722,85.91,29,84,2.86,broken clouds
Tiffin,US,41.1145,-83.178,59.0,91,100,1.01,overcast clouds
San Cristobal,VE,7.7669,-72.225,64.36,86,99,1.45,overcast clouds
Fort-Shevchenko,KZ,44.5086,50.263,68.43,30,50,18.03,scattered clouds
Quelimane,MZ,-17.8786,36.8883,75.2,94,75,3.44,broken clouds
Mandiana,GN,10.6333,-8.6833,82.45,48,81,7.58,broken clouds
Lulindi,TZ,-10.8167,39.1333,72.9,90,96,3.94,overcast clouds
Agirish,RU,61.9247,63.0231,35.26,98,100,4.72,overcast clouds
Brightwater,NZ,-41.3833,173.1167,64.99,81,31,3.0,scattered clouds
Oktyabrskiy,RU,54.4815,53.471,49.17,70,100,15.79,overcast clouds
Jacareacanga,BR,-6.2222,-57.7528,72.03,99,100,1.43,overcast clouds
Balurghat,IN,25.2167,88.7667,103.23,9,1,9.75,clear sky
Puttur,IN,12.7667,75.2167,91.4,62,20,0.67,few clouds
Alausi,EC,-2.2,-78.8333,48.02,90,99,4.38,overcast clouds
Lesnoy,RU,57.6198,63.0784,44.71,74,99,13.8,overcast clouds
Ikom,NG,5.9667,8.7063,73.99,94,100,1.16,light rain
Whitehorse,CA,60.7161,-135.0538,-0.4,60,20,10.36,few clouds
Port Macquarie,AU,-31.4333,152.9167,69.8,30,16,16.64,few clouds
San Francisco Del Mar,MX,16.2333,-94.65,80.44,76,3,7.63,clear sky
Hami,CN,42.8,93.45,61.97,22,100,6.35,overcast clouds
Bani Walid,LY,31.7566,13.9942,54.25,51,59,10.29,broken clouds
Szank,HU,46.5571,19.661,45.0,75,0,4.61,clear sky
Egvekinot,RU,66.3167,-179.1667,-3.53,84,100,15.68,overcast clouds
Taoudenni,ML,22.6783,-3.9836,76.41,19,0,7.85,clear sky
Bida,NG,9.0833,6.0167,79.47,72,35,4.47,scattered clouds
Adre,TD,13.4667,22.2,76.57,13,15,20.33,few clouds
Husavik,IS,66.0449,-17.3389,24.8,74,40,3.44,scattered clouds
Zhuhai,CN,22.2769,113.5678,82.4,73,0,8.05,clear sky
Marechal Deodoro,BR,-9.7103,-35.895,71.6,94,75,5.75,light rain
Tautira,PF,-17.7333,-149.15,82.4,65,40,1.14,scattered clouds
Majene,ID,-3.5403,118.9707,86.43,62,56,7.58,broken clouds
Janauba,BR,-15.8025,-43.3089,65.8,73,64,5.68,broken clouds
Marrakesh,MA,31.6315,-8.0083,59.0,72,75,2.3,broken clouds
Waingapu,ID,-9.6567,120.2641,85.35,65,53,6.6,broken clouds
Magdagachi,RU,53.45,125.8,26.76,45,36,9.62,scattered clouds
Montevideo,UY,-34.8335,-56.1674,69.8,94,90,6.91,overcast clouds
River Falls,US,44.8614,-92.6238,46.0,76,90,8.05,overcast clouds
Svendborg,DK,55.0598,10.6068,37.99,100,90,20.71,overcast clouds
Fuerte Olimpo,PY,-21.0415,-57.8738,75.52,64,7,3.98,clear sky
Portland,US,45.5234,-122.6762,41.0,63,58,1.01,broken clouds
Ganganagar,IN,29.9167,73.8833,98.83,6,6,8.93,clear sky
Naples,IT,40.8333,14.25,55.0,76,40,3.44,scattered clouds
Plettenberg Bay,ZA,-34.0527,23.3716,63.82,66,96,2.95,overcast clouds
Nadym,RU,65.5333,72.5167,33.46,99,72,15.46,broken clouds
Kamenka,RU,51.3223,42.7678,42.01,87,100,1.01,light rain
Bako,ET,5.7833,36.5667,72.64,60,97,0.81,overcast clouds
Ingham,US,42.6,-84.3833,53.01,93,90,3.44,light rain
Ubinskoye,RU,55.3068,79.6802,32.77,99,99,3.13,overcast clouds
Beeskow,DE,52.1667,14.25,45.0,85,100,3.0,overcast clouds
Moose Factory,CA,51.2585,-80.6094,44.6,100,90,4.61,mist
Aswan,EG,24.0934,32.907,63.46,22,0,17.83,clear sky
Launceston,AU,-41.45,147.1667,55.99,41,59,23.02,broken clouds
Anadyr,RU,64.75,177.4833,5.0,72,100,26.84,snow
Dwarka,IN,22.2394,68.9678,84.92,53,0,12.46,clear sky
Orsk,RU,51.2049,58.5668,33.8,100,90,8.95,fog
Baker City,US,44.7749,-117.8344,30.99,69,90,18.41,overcast clouds
Lockhart,US,28.6194,-81.4426,66.99,88,1,4.61,clear sky
Solnechnyy,RU,50.7214,136.6319,48.09,65,79,5.88,broken clouds
Acarau,BR,-2.8856,-40.12,76.93,87,61,10.49,broken clouds
Harlingen,US,26.1906,-97.6961,70.0,94,1,5.75,clear sky
Grand-Lahou,CI,5.1367,-5.0242,80.06,83,71,9.62,broken clouds
Udimskiy,RU,61.1417,45.9144,37.89,83,63,10.47,broken clouds
Yushala,RU,57.0761,64.2601,44.6,61,0,11.18,clear sky
Sulzbach-Rosenberg,DE,49.4983,11.7517,46.0,93,90,3.09,overcast clouds
Mayumba,GA,-3.432,10.6554,78.22,82,100,4.79,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,82.45,73,26,6.62,scattered clouds
Grenada,ES,37.1882,-3.6067,46.99,93,20,0.34,few clouds
Lodja,CD,-3.4833,23.4333,71.1,95,100,2.62,overcast clouds
Ambon,ID,-3.6954,128.1814,87.8,66,20,11.5,few clouds
Moranbah,AU,-22.0016,148.0466,92.05,15,55,8.14,broken clouds
Jaque,PA,7.5175,-78.1703,77.22,87,80,1.99,light rain
Wamba,NG,8.9333,8.6,76.46,69,75,2.89,broken clouds
Les Cayes,HT,18.2,-73.75,75.81,81,85,6.35,overcast clouds
Marshall,US,34.3834,-86.3333,59.0,77,1,4.61,clear sky
Nara,JP,34.6851,135.8049,71.01,26,20,6.91,few clouds
Maanshan,CN,31.6957,118.4983,64.0,82,90,11.18,moderate rain
Ulverstone,AU,-41.15,146.1667,57.99,66,30,24.0,scattered clouds
Kushmurun,KZ,52.4503,64.6311,38.08,87,10,5.03,clear sky
Helong,CN,42.5397,128.9972,62.94,37,95,9.24,overcast clouds
Chimoio,MZ,-19.1164,33.4833,64.4,100,40,3.83,fog
Camopi,GF,3.1655,-52.3158,71.11,99,100,1.68,moderate rain
Saint-Augustin,CA,51.226,-58.6502,40.98,98,100,23.67,overcast clouds
